kind,dataset,config,gamma,eta,acc_mean,acc_std,pure_mean,pure_std,weighted_mean,weighted_std,iter_mean,iter_std,delta_acc_vs_pure,delta_pure_vs_pure,delta_weighted_vs_pure
docs,la1.mat,"Only γ (γ=0.05, η=1)",0.05,1.0,0.24344569288389514,0.024893574291507313,2.166113607756478,0.011573779236817905,2.166113607756478,0.011573779236817905,50.0,0.0,-0.051248439450686606,1.1929737037027164,1.1929737037027164
docs,la1.mat,"Only inertia (γ=1, η=0.3)",1.0,0.3,0.3122971285892634,0.046091769087343935,0.9725847248349293,0.01513687311380752,0.9725847248349293,0.01513687311380752,50.0,0.0,0.017602996254681647,-0.0005551792188326354,-0.0005551792188326354
docs,la1.mat,"γ + inertia (γ=0.05, η=0.3)",0.05,0.3,0.2506242197253433,0.042715743945366785,5.474993459651331,3.8949996361735013,5.474993459651331,3.8949996361735013,50.0,0.0,-0.044069912609238426,4.5018535555975685,4.5018535555975685
docs,la12.mat,"PURE (γ=1, η=1)",1.0,1.0,0.3326325848064978,0.03834828980806457,0.9685104220148959,0.0024591105926737647,0.9685104220148959,0.0024591105926737647,50.0,0.0,0.0,0.0,0.0
docs,la12.mat,"Only γ (γ=0.05, η=1)",0.05,1.0,0.26348144609014174,0.020067079227674246,2.1564614435634613,0.006414055088035454,2.1564614435634613,0.006414055088035454,50.0,0.0,-0.06915113871635609,1.1879510215485654,1.1879510215485654
docs,la12.mat,"Only inertia (γ=1, η=0.3)",1.0,0.3,0.32645325688803944,0.040859285251734906,0.9683769878887734,0.0031478819143046727,0.9683769878887734,0.0031478819143046727,50.0,0.0,-0.006179327918458377,-0.00013343412612254468,-0.00013343412612254468
docs,la12.mat,"γ + inertia (γ=0.05, η=0.3)",0.05,0.3,0.2570154483197961,0.021664593332338826,10.204678425751748,5.369754423386993,10.204678425751748,5.369754423386993,50.0,0.0,-0.07561713648670171,9.236168003736852,9.236168003736852
docs,la2.mat,"PURE (γ=1, η=1)",1.0,1.0,0.31323577235772354,0.015960490580421312,0.9697829952863414,0.0038844679255057527,0.9697829952863414,0.0038844679255057527,50.0,0.0,0.0,0.0,0.0
docs,la2.mat,"Only γ (γ=0.05, η=1)",0.05,1.0,0.25632520325203256,0.015175880756387873,2.1869482156492905,0.008943585595967491,2.1869482156492905,0.008943585595967491,50.0,0.0,-0.05691056910569098,1.2171652203629493,1.2171652203629493
docs,la2.mat,"Only inertia (γ=1, η=0.3)",1.0,0.3,0.30269918699186993,0.009077773696191437,0.9708990168628393,0.0030132962421580882,0.9708990168628393,0.0030132962421580882,50.0,0.0,-0.010536585365853612,0.0011160215764979275,0.0011160215764979275
docs,la2.mat,"γ + inertia (γ=0.05, η=0.3)",0.05,0.3,0.2821463414634146,0.01187236860784872,4.7275518368368585,3.2534860556440846,4.7275518368368585,3.2534860556440846,50.0,0.0,-0.031089430894308934,3.7577688415505173,3.7577688415505173
docs,NG20.mat,"PURE (γ=1, η=1)",1.0,1.0,0.09568399418517219,0.01664671816068892,0.9883439629284961,0.0016725848252645429,0.9883439629284961,0.0016725848252645429,50.0,0.0,0.0,0.0,0.0
docs,NG20.mat,"Only γ (γ=0.05, η=1)",0.05,1.0,0.056393804200711814,0.0008896806531304255,1.3060678898075218,0.12005390208121511,1.3060678898075218,0.12005390208121511,50.0,0.0,-0.03929018998446038,0.3177239268790256,0.3177239268790256
docs,NG20.mat,"Only inertia (γ=1, η=0.3)",1.0,0.3,0.0920948418467091,0.014306089844006388,0.9887798975749188,0.0013119610939246649,0.9887798975749188,0.0013119610939246649,50.0,0.0,-0.003589152338463089,0.00043593464642266433,0.00043593464642266433
docs,NG20.mat,"γ + inertia (γ=0.05, η=0.3)",0.05,0.3,0.0548197904656875,0.0023065882132002496,7.98039229711847,6.257083394388133,7.98039229711847,6.257083394388133,50.0,0.0,-0.04086420371948469,6.992048334189974,6.992048334189974
docs,ng3sim.mat,"PURE (γ=1, η=1)",1.0,1.0,0.35383589059372916,0.017174718084089154,0.9943306069048589,0.00259796120223779,0.9943306069048589,0.00259796120223779,50.0,0.0,0.0,0.0,0.0
docs,ng3sim.mat,"Only γ (γ=0.05, η=1)",0.05,1.0,0.3342895263509006,0.0004947430611804934,0.9994710732673792,0.0006722500765164695,0.9994710732673792,0.0006722500765164695,50.0,0.0,-0.019546364242828573,0.005140466362520302,0.005140466362520302
docs,ng3sim.mat,"Only inertia (γ=1, η=0.3)",1.0,0.3,0.3443629086057372,0.013624025454969433,0.9951637728973702,0.0034759685020140023,0.9951637728973702,0.0034759685020140023,50.0,0.0,-0.009472981987991957,0.0008331659925113755,0.0008331659925113755
docs,ng3sim.mat,"γ + inertia (γ=0.05, η=0.3)",0.05,0.3,0.3346230820547032,0.0006416072068602857,0.9990024358612736,0.00016114131311555698,0.9990024358612736,0.00016114131311555698,50.0,0.0,-0.01921280853902596,0.004671828956414714,0.004671828956414714
